,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1415670_at,659.5,548,318.9,453.3,1506.4,1760.6,519.1,591.2,1438.8,756.9,580.9,746.1
1415671_at,971.4,646.2,258,415.3,1154,1495,374.7,495,1762.2,889.8,740,925.2
1415672_at,1931.3,1129,896.2,1220.5,2405.5,2837.2,877.7,1147.4,2710.1,1521.6,962.3,1322.7
1415673_at,90,107,47.7,92.8,1360.9,966.1,481.2,499.2,189,123.9,110.7,144.1
1415674_a_at,575.4,406.9,174.6,321.6,1261.5,1398,513.4,504.9,687.6,424.2,346.4,475.5
1415675_at,545.9,440,138.9,195.9,502.7,616.2,157.9,204.9,640.2,256.5,230.7,286.2
1415676_a_at,1586,1113.3,688.3,1021.9,5143.3,5613.9,4353.9,4667.7,2054.1,1854.8,1506.2,1657
1415677_at,134.2,87.4,73.5,100.8,350.3,313.5,107.5,138.5,279.8,278.9,178.6,253.4
1415678_at,2274,1589.3,932.4,1116.4,2062.1,2723.8,1138.2,1398.6,2163.4,1581.2,1253.5,1633.2
1415679_at,2622.5,1225.4,983.1,1123.5,2898,3643.7,1123.1,1304.8,4328.3,1418.1,1528.8,1586.1
1415680_at,473.1,612.3,359.9,290.6,1484.3,1687.7,587.2,612.5,762.4,377.3,349.2,437.3
1415681_at,228.1,112.4,74.3,135.6,905.2,953.5,553.2,590.7,450.8,248.6,204.2,247.9
1415682_at,329,264.7,114.8,155.6,573.8,666,147.7,239.7,321.3,123.5,82.7,96.2
1415683_at,2289,1579.3,872.4,1213.4,3857.5,4185.3,1646.8,1754.2,1573.8,820.3,699.5,789.4
1415684_at,277.6,121.5,90.9,148,369.8,282.6,118.6,122.4,291.2,155.1,121.7,191.3
1415685_at,253.4,274,155.2,181.8,500.9,567,204.2,225.7,313.5,148.9,110.1,126.4
1415686_at,904.1,453.6,577.6,588.2,1144.5,1684.3,367.4,444.2,1552.5,648.2,369.3,593.8
1415687_a_at,3607.8,3089.4,2223.6,2135.9,2969.9,3946.4,1083.1,1408.9,7568.4,4339.7,3159.3,4716.2
1415688_at,1566.2,1257.9,648.8,784.2,1631.7,2024.8,720,800,1876.2,1135.5,841.4,1216.1
1415689_s_at,647.9,480.3,430.1,517.6,658.3,575.3,189.3,239.9,1103.1,564.3,361.2,441.2
1415690_at,1147.5,673.8,293.2,535.3,1997.9,2038.9,919.9,1075.5,1474.5,831.4,906.2,1069.3
